Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100n,LED_0402_1005Metric,211.45,-83.55,180,top
C2,100n,LED_0402_1005Metric,207.05,-78.95,-90,top
C3,100n,LED_0402_1005Metric,208.2,-78.95,-90,top
C4,100n,LED_0402_1005Metric,213.15,-84.55,180,top
C5,100n,LED_0402_1005Metric,213.6,-87.5,180,top
C6,1u,LED_0402_1005Metric,210.65,-81.5,180,top
C7,100n,LED_0402_1005Metric,205.97,-78.95,-90,top
C8,1u,LED_0402_1005Metric,210.655,-82.5,180,top
C9,100n,LED_0402_1005Metric,201.607053,-82.907053,-45,top
C10,100n,LED_0402_1005Metric,206.6175,-93.345,-90,top
C11,100n,LED_0402_1005Metric,198.7825,-87.307053,135,top
C12,100n,LED_0402_1005Metric,207.65,-93.365,-90,top
C13,100n,LED_0402_1005Metric,209.2025,-76.8325,90,top
D1,LED,LED_0402_1005Metric,211.083085,-22.285585,-45,top
D2,LED,LED_0402_1005Metric,209.333085,-22.285585,-45,top
D3,LED,LED_0402_1005Metric,207.583085,-22.285585,-45,top
D4,LED,LED_0402_1005Metric,205.833085,-22.285585,-45,top
D5,LED,LED_0402_1005Metric,204.083085,-22.285585,-45,top
D6,LED,LED_0402_1005Metric,202.333085,-22.285585,-45,top
D7,LED,LED_0402_1005Metric,200.583085,-22.285585,-45,top
D8,LED,LED_0402_1005Metric,198.833085,-22.285585,-45,top
D9,LED,LED_0402_1005Metric,197.083085,-22.285585,-45,top
D10,LED,LED_0402_1005Metric,195.333085,-22.285585,-45,top
D11,LED,LED_0402_1005Metric,193.583085,-22.285585,-45,top
D12,LED,LED_0402_1005Metric,191.833085,-22.285585,-45,top
D13,LED,LED_0402_1005Metric,190.083085,-22.285585,-45,top
D14,LED,LED_0402_1005Metric,188.333085,-22.285585,-45,top
D15,LED,LED_0402_1005Metric,186.583085,-22.285585,-45,top
D16,LED,LED_0402_1005Metric,184.833085,-22.285585,-45,top
D17,LED,LED_0402_1005Metric,183.083085,-22.285585,-45,top
D18,LED,LED_0402_1005Metric,181.333085,-22.285585,-45,top
D19,LED,LED_0402_1005Metric,179.583085,-22.285585,-45,top
D20,LED,LED_0402_1005Metric,177.833085,-22.285585,-45,top
D21,LED,LED_0402_1005Metric,175.956048,-22.406048,-45,top
D22,LED,LED_0402_1005Metric,211.083085,-24.310585,-45,top
D23,LED,LED_0402_1005Metric,209.333085,-24.310585,-45,top
D24,LED,LED_0402_1005Metric,207.583085,-24.310585,-45,top
D25,LED,LED_0402_1005Metric,205.833085,-24.310585,-45,top
D26,LED,LED_0402_1005Metric,204.083085,-24.310585,-45,top
D27,LED,LED_0402_1005Metric,202.333085,-24.310585,-45,top
D28,LED,LED_0402_1005Metric,200.583085,-24.310585,-45,top
D29,LED,LED_0402_1005Metric,198.833085,-24.310585,-45,top
D30,LED,LED_0402_1005Metric,197.083085,-24.310585,-45,top
D31,LED,LED_0402_1005Metric,195.333085,-24.310585,-45,top
D32,LED,LED_0402_1005Metric,193.583085,-24.310585,-45,top
D33,LED,LED_0402_1005Metric,191.833085,-24.310585,-45,top
D34,LED,LED_0402_1005Metric,190.083085,-24.310585,-45,top
D35,LED,LED_0402_1005Metric,188.333085,-24.310585,-45,top
D36,LED,LED_0402_1005Metric,186.583085,-24.310585,-45,top
D37,LED,LED_0402_1005Metric,184.833085,-24.310585,-45,top
D38,LED,LED_0402_1005Metric,183.083085,-24.310585,-45,top
D39,LED,LED_0402_1005Metric,181.333085,-24.310585,-45,top
D40,LED,LED_0402_1005Metric,179.583085,-24.310585,-45,top
D41,LED,LED_0402_1005Metric,177.833085,-24.310585,-45,top
D42,LED,LED_0402_1005Metric,176.083085,-24.310585,-45,top
D43,LED,LED_0402_1005Metric,211.083085,-26.285585,-45,top
D44,LED,LED_0402_1005Metric,209.333085,-26.285585,-45,top
D45,LED,LED_0402_1005Metric,207.583085,-26.285585,-45,top
D46,LED,LED_0402_1005Metric,205.833085,-26.285585,-45,top
D47,LED,LED_0402_1005Metric,204.083085,-26.285585,-45,top
D48,LED,LED_0402_1005Metric,202.333085,-26.285585,-45,top
D49,LED,LED_0402_1005Metric,200.583085,-26.285585,-45,top
D50,LED,LED_0402_1005Metric,198.833085,-26.285585,-45,top
D51,LED,LED_0402_1005Metric,197.083085,-26.285585,-45,top
D52,LED,LED_0402_1005Metric,195.333086,-26.285584,-45,top
D53,LED,LED_0402_1005Metric,193.583085,-26.285585,-45,top
