Designator,Footprint,Quantity,Value,LCSC Part #
"B1_8, B1_7, B1_6, B1_5, B1_4, B1_3, B1_2, B1",BAT_BS-02_MYG-NoDrill,8,BS-02-A1BK007,
"C1_8, C1_7, C1_6, C1_5, C1_4, C1_3, C1_2, C1, C10_8, C10_7, C10_6, C10_5, C10_4, C10_3, C10_2, C10, C11_8, C11_7, C11_6, C11_5, C11_4, C11_3, C11_2, C11, C12_8, C12_7, C12_6, C12_5, C12_4, C12_3, C12_2, C12, C13_8, C13_7, C13_6, C13_5, C13_4, C13_3, C13_2, C13, C2_8, C2_7, C2_6, C2_5, C2_4, C2_3, C2_2, C2, C3_8, C3_7, C3_6, C3_5, C3_4, C3_3, C3_2, C3, C4_8, C4_7, C4_6, C4_5, C4_4, C4_3, C4_2, C4, C5_8, C5_7, C5_6, C5_5, C5_4, C5_3, C5_2, C5, C7_8, C7_7, C7_6, C7_5, C7_4, C7_3, C7_2, C7, C9_8, C9_7, C9_6, C9_5, C9_4, C9_3, C9_2, C9",0603,88,100n,
"C16_8, C16_7, C16_6, C16_5, C16_4, C16_3, C16_2, C16, C17_8, C17_7, C17_6, C17_5, C17_4, C17_3, C17_2, C17",0603,16,15p,
"C6_8, C6_7, C6_6, C6_5, C6_4, C6_3, C6_2, C6, C8_8, C8_7, C8_6, C8_5, C8_4, C8_3, C8_2, C8",0603,16,1u,
"D1_8, D1_7, D1_6, D1_5, D1_4, D1_3, D1_2, D1, D10_8, D10_7, D10_6, D10_5, D10_4, D10_3, D10_2, D10, D100_8, D100_7, D100_6, D100_5, D100_4, D100_3, D100_2, D100, D101_8, D101_7, D101_6, D101_5, D101_4, D101_3, D101_2, D101, D102_8, D102_7, D102_6, D102_5, D102_4, D102_3, D102_2, D102, D103_8, D103_7, D103_6, D103_5, D103_4, D103_3, D103_2, D103, D104_8, D104_7, D104_6, D104_5, D104_4, D104_3, D104_2, D104, D105_8, D105_7, D105_6, D105_5, D105_4, D105_3, D105_2, D105, D106_8, D106_7, D106_6, D106_5, D106_4, D106_3, D106_2, D106, D107_8, D107_7, D107_6, D107_5, D107_4, D107_3, D107_2, D107, D108_8, D108_7, D108_6, D108_5, D108_4, D108_3, D108_2, D108, D109_8, D109_7, D109_6, D109_5, D109_4, D109_3, D109_2, D109, D11_8, D11_7, D11_6, D11_5, D11_4, D11_3, D11_2, D11, D110_8, D110_7, D110_6, D110_5, D110_4, D110_3, D110_2, D110, D111_8, D111_7, D111_6, D111_5, D111_4, D111_3, D111_2, D111, D112_8, D112_7, D112_6, D112_5, D112_4, D112_3, D112_2, D112, D113_8, D113_7, D113_6, D113_5, D113_4, D113_3, D113_2, D113, D114_8, D114_7, D114_6, D114_5, D114_4, D114_3, D114_2, D114, D115_8, D115_7, D115_6, D115_5, D115_4, D115_3, D115_2, D115, D116_8, D116_7, D116_6, D116_5, D116_4, D116_3, D116_2, D116, D117_8, D117_7, D117_6, D117_5, D117_4, D117_3, D117_2, D117, D118_8, D118_7, D118_6, D118_5, D118_4, D118_3, D118_2, D118, D119_8, D119_7, D119_6, D119_5, D119_4, D119_3, D119_2, D119, D12_8, D12_7, D12_6, D12_5, D12_4, D12_3, D12_2, D12, D120_8, D120_7, D120_6, D120_5, D120_4, D120_3, D120_2, D120",0603,200,LED,
"D121_8, D121_7, D121_6, D121_5, D121_4, D121_3, D121_2, D121, D122_8, D122_7, D122_6, D122_5, D122_4, D122_3, D122_2, D122, D123_8, D123_7, D123_6, D123_5, D123_4, D123_3, D123_2, D123, D124_8, D124_7, D124_6, D124_5, D124_4, D124_3, D124_2, D124, D125_8, D125_7, D125_6, D125_5, D125_4, D125_3, D125_2, D125, D126_8, D126_7, D126_6, D126_5, D126_4, D126_3, D126_2, D126, D127_8, D127_7, D127_6, D127_5, D127_4, D127_3, D127_2, D127, D128_8, D128_7, D128_6, D128_5, D128_4, D128_3, D128_2, D128, D129_8, D129_7, D129_6, D129_5, D129_4, D129_3, D129_2, D129, D13_8, D13_7, D13_6, D13_5, D13_4, D13_3, D13_2, D13, D130_8, D130_7, D130_6, D130_5, D130_4, D130_3, D130_2, D130, D131_8, D131_7, D131_6, D131_5, D131_4, D131_3, D131_2, D131, D132_8, D132_7, D132_6, D132_5, D132_4, D132_3, D132_2, D132, D133_8, D133_7, D133_6, D133_5, D133_4, D133_3, D133_2, D133, D134_8, D134_7, D134_6, D134_5, D134_4, D134_3, D134_2, D134, D135_8, D135_7, D135_6, D135_5, D135_4, D135_3, D135_2, D135, D136_8, D136_7, D136_6, D136_5, D136_4, D136_3, D136_2, D136, D137_8, D137_7, D137_6, D137_5, D137_4, D137_3, D137_2, D137, D138_8, D138_7, D138_6, D138_5, D138_4, D138_3, D138_2, D138, D139_8, D139_7, D139_6, D139_5, D139_4, D139_3, D139_2, D139, D14_8, D14_7, D14_6, D14_5, D14_4, D14_3, D14_2, D14, D140_8, D140_7, D140_6, D140_5, D140_4, D140_3, D140_2, D140, D141_8, D141_7, D141_6, D141_5, D141_4, D141_3, D141_2, D141, D142_8, D142_7, D142_6, D142_5, D142_4, D142_3, D142_2, D142, D143_8, D143_7, D143_6, D143_5, D143_4, D143_3, D143_2, D143",0603,200,LED,
"D144_8, D144_7, D144_6, D144_5, D144_4, D144_3, D144_2, D144, D145_8, D145_7, D145_6, D145_5, D145_4, D145_3, D145_2, D145, D146_8, D146_7, D146_6, D146_5, D146_4, D146_3, D146_2, D146, D147_8, D147_7, D147_6, D147_5, D147_4, D147_3, D147_2, D147, D148_8, D148_7, D148_6, D148_5, D148_4, D148_3, D148_2, D148, D149_8, D149_7, D149_6, D149_5, D149_4, D149_3, D149_2, D149, D15_8, D15_7, D15_6, D15_5, D15_4, D15_3, D15_2, D15, D150_8, D150_7, D150_6, D150_5, D150_4, D150_3, D150_2, D150, D151_8, D151_7, D151_6, D151_5, D151_4, D151_3, D151_2, D151, D152_8, D152_7, D152_6, D152_5, D152_4, D152_3, D152_2, D152, D153_8, D153_7, D153_6, D153_5, D153_4, D153_3, D153_2, D153, D154_8, D154_7, D154_6, D154_5, D154_4, D154_3, D154_2, D154, D155_8, D155_7, D155_6, D155_5, D155_4, D155_3, D155_2, D155, D156_8, D156_7, D156_6, D156_5, D156_4, D156_3, D156_2, D156, D157_8, D157_7, D157_6, D157_5, D157_4, D157_3, D157_2, D157, D158_8, D158_7, D158_6, D158_5, D158_4, D158_3, D158_2, D158, D159_8, D159_7, D159_6, D159_5, D159_4, D159_3, D159_2, D159, D16_8, D16_7, D16_6, D16_5, D16_4, D16_3, D16_2, D16, D160_8, D160_7, D160_6, D160_5, D160_4, D160_3, D160_2, D160, D161_8, D161_7, D161_6, D161_5, D161_4, D161_3, D161_2, D161, D162_8, D162_7, D162_6, D162_5, D162_4, D162_3, D162_2, D162, D163_8, D163_7, D163_6, D163_5, D163_4, D163_3, D163_2, D163, D164_8, D164_7, D164_6, D164_5, D164_4, D164_3, D164_2, D164, D165_8, D165_7, D165_6, D165_5, D165_4, D165_3, D165_2, D165, D166_8, D166_7, D166_6, D166_5, D166_4, D166_3, D166_2, D166",0603,200,LED,
"D167_8, D167_7, D167_6, D167_5, D167_4, D167_3, D167_2, D167, D168_8, D168_7, D168_6, D168_5, D168_4, D168_3, D168_2, D168, D169_8, D169_7, D169_6, D169_5, D169_4, D169_3, D169_2, D169, D17_8, D17_7, D17_6, D17_5, D17_4, D17_3, D17_2, D17, D170_8, D170_7, D170_6, D170_5, D170_4, D170_3, D170_2, D170, D171_8, D171_7, D171_6, D171_5, D171_4, D171_3, D171_2, D171, D172_8, D172_7, D172_6, D172_5, D172_4, D172_3, D172_2, D172, D173_8, D173_7, D173_6, D173_5, D173_4, D173_3, D173_2, D173, D174_8, D174_7, D174_6, D174_5, D174_4, D174_3, D174_2, D174, D175_8, D175_7, D175_6, D175_5, D175_4, D175_3, D175_2, D175, D176_8, D176_7, D176_6, D176_5, D176_4, D176_3, D176_2, D176, D177_8, D177_7, D177_6, D177_5, D177_4, D177_3, D177_2, D177, D178_8, D178_7, D178_6, D178_5, D178_4, D178_3, D178_2, D178, D179_8, D179_7, D179_6, D179_5, D179_4, D179_3, D179_2, D179, D18_8, D18_7, D18_6, D18_5, D18_4, D18_3, D18_2, D18, D180_8, D180_7, D180_6, D180_5, D180_4, D180_3, D180_2, D180, D181_8, D181_7, D181_6, D181_5, D181_4, D181_3, D181_2, D181, D182_8, D182_7, D182_6, D182_5, D182_4, D182_3, D182_2, D182, D183_8, D183_7, D183_6, D183_5, D183_4, D183_3, D183_2, D183, D184_8, D184_7, D184_6, D184_5, D184_4, D184_3, D184_2, D184, D185_8, D185_7, D185_6, D185_5, D185_4, D185_3, D185_2, D185, D186_8, D186_7, D186_6, D186_5, D186_4, D186_3, D186_2, D186, D187_8, D187_7, D187_6, D187_5, D187_4, D187_3, D187_2, D187, D188_8, D188_7, D188_6, D188_5, D188_4, D188_3, D188_2, D188, D189_8, D189_7, D189_6, D189_5, D189_4, D189_3, D189_2, D189",0603,200,LED,
"D19_8, D19_7, D19_6, D19_5, D19_4, D19_3, D19_2, D19, D190_8, D190_7, D190_6, D190_5, D190_4, D190_3, D190_2, D190, D191_8, D191_7, D191_6, D191_5, D191_4, D191_3, D191_2, D191, D192_8, D192_7, D192_6, D192_5, D192_4, D192_3, D192_2, D192, D193_8, D193_7, D193_6, D193_5, D193_4, D193_3, D193_2, D193, D194_8, D194_7, D194_6, D194_5, D194_4, D194_3, D194_2, D194, D195_8, D195_7, D195_6, D195_5, D195_4, D195_3, D195_2, D195, D196_8, D196_7, D196_6, D196_5, D196_4, D196_3, D196_2, D196, D197_8, D197_7, D197_6, D197_5, D197_4, D197_3, D197_2, D197, D198_8, D198_7, D198_6, D198_5, D198_4, D198_3, D198_2, D198, D199_8, D199_7, D199_6, D199_5, D199_4, D199_3, D199_2, D199, D2_8, D2_7, D2_6, D2_5, D2_4, D2_3, D2_2, D2, D20_8, D20_7, D20_6, D20_5, D20_4, D20_3, D20_2, D20, D200_8, D200_7, D200_6, D200_5, D200_4, D200_3, D200_2, D200, D201_8, D201_7, D201_6, D201_5, D201_4, D201_3, D201_2, D201, D202_8, D202_7, D202_6, D202_5, D202_4, D202_3, D202_2, D202, D203_8, D203_7, D203_6, D203_5, D203_4, D203_3, D203_2, D203, D204_8, D204_7, D204_6, D204_5, D204_4, D204_3, D204_2, D204, D205_8, D205_7, D205_6, D205_5, D205_4, D205_3, D205_2, D205, D206_8, D206_7, D206_6, D206_5, D206_4, D206_3, D206_2, D206, D207_8, D207_7, D207_6, D207_5, D207_4, D207_3, D207_2, D207, D208_8, D208_7, D208_6, D208_5, D208_4, D208_3, D208_2, D208, D209_8, D209_7, D209_6, D209_5, D209_4, D209_3, D209_2, D209, D21_8, D21_7, D21_6, D21_5, D21_4, D21_3, D21_2, D21, D210_8, D210_7, D210_6, D210_5, D210_4, D210_3, D210_2, D210",0603,200,LED,
"D211_8, D211_7, D211_6, D211_5, D211_4, D211_3, D211_2, D211, D212_8, D212_7, D212_6, D212_5, D212_4, D212_3, D212_2, D212, D213_8, D213_7, D213_6, D213_5, D213_4, D213_3, D213_2, D213, D214_8, D214_7, D214_6, D214_5, D214_4, D214_3, D214_2, D214, D215_8, D215_7, D215_6, D215_5, D215_4, D215_3, D215_2, D215, D216_8, D216_7, D216_6, D216_5, D216_4, D216_3, D216_2, D216, D217_8, D217_7, D217_6, D217_5, D217_4, D217_3, D217_2, D217, D218_8, D218_7, D218_6, D218_5, D218_4, D218_3, D218_2, D218, D219_8, D219_7, D219_6, D219_5, D219_4, D219_3, D219_2, D219, D22_8, D22_7, D22_6, D22_5, D22_4, D22_3, D22_2, D22, D220_8, D220_7, D220_6, D220_5, D220_4, D220_3, D220_2, D220, D221_8, D221_7, D221_6, D221_5, D221_4, D221_3, D221_2, D221, D222_8, D222_7, D222_6, D222_5, D222_4, D222_3, D222_2, D222, D223_8, D223_7, D223_6, D223_5, D223_4, D223_3, D223_2, D223, D224_8, D224_7, D224_6, D224_5, D224_4, D224_3, D224_2, D224, D225_8, D225_7, D225_6, D225_5, D225_4, D225_3, D225_2, D225, D226_8, D226_7, D226_6, D226_5, D226_4, D226_3, D226_2, D226, D227_8, D227_7, D227_6, D227_5, D227_4, D227_3, D227_2, D227, D228_8, D228_7, D228_6, D228_5, D228_4, D228_3, D228_2, D228, D229_8, D229_7, D229_6, D229_5, D229_4, D229_3, D229_2, D229, D23_8, D23_7, D23_6, D23_5, D23_4, D23_3, D23_2, D23, D230_8, D230_7, D230_6, D230_5, D230_4, D230_3, D230_2, D230, D231_8, D231_7, D231_6, D231_5, D231_4, D231_3, D231_2, D231, D232_8, D232_7, D232_6, D232_5, D232_4, D232_3, D232_2, D232, D233_8, D233_7, D233_6, D233_5, D233_4, D233_3, D233_2, D233",0603,200,LED,
