Designator,Mid X,Mid Y,Rotation,Layer
B1,205.0,-85.625006,0.0,bottom
C1,212.065,-82.98,180.0,top
C10,211.33,-93.86,0.0,top
C11,197.99,-86.79,135.0,top
C12,211.34,-92.31,0.0,top
C13,207.25,-74.275,90.0,top
C16,220.135,-96.49,0.0,top
C17,220.135,-94.99,0.0,top
C2,206.92,-77.345,270.0,top
C3,208.44,-77.325,270.0,top
C4,216.425,-84.675,180.0,top
C5,213.375,-88.42,180.0,top
C6,208.95,-79.65,180.0,top
C7,205.4,-77.5,270.0,top
C8,210.45,-81.25,180.0,top
C9,200.868008,-83.018008,315.0,top
D1,210.8,-21.6,315.0,top
D10,194.6,-21.6,315.0,top
D100,183.8,-30.4,315.0,top
D101,182.0,-30.4,315.0,top
D102,180.2,-30.4,315.0,top
D103,178.4,-30.4,315.0,top
D104,176.6,-30.4,315.0,top
D105,174.8,-30.4,315.0,top
D106,210.8,-32.6,315.0,top
D107,209.0,-32.6,315.0,top
D108,207.2,-32.6,315.0,top
D109,205.4,-32.6,315.0,top
D11,192.8,-21.6,315.0,top
D110,203.6,-32.6,315.0,top
D111,201.8,-32.6,315.0,top
D112,200.0,-32.6,315.0,top
D113,198.2,-32.6,315.0,top
D114,196.4,-32.6,315.0,top
D115,194.6,-32.6,315.0,top
D116,192.8,-32.6,315.0,top
D117,191.0,-32.6,315.0,top
D118,189.2,-32.6,315.0,top
D119,187.4,-32.6,315.0,top
D12,191.0,-21.6,315.0,top
D120,185.6,-32.6,315.0,top
D121,183.8,-32.6,315.0,top
D122,182.0,-32.6,315.0,top
D123,180.2,-32.6,315.0,top
D124,178.4,-32.6,315.0,top
D125,176.6,-32.6,315.0,top
D126,174.8,-32.6,315.0,top
D127,210.8,-34.8,315.0,top
D128,209.0,-34.8,315.0,top
D129,207.2,-34.8,315.0,top
D13,189.2,-21.6,315.0,top
D130,205.4,-34.8,315.0,top
D131,203.6,-34.8,315.0,top
D132,201.8,-34.8,315.0,top
D133,200.0,-34.796847,315.0,top
D134,198.2,-34.8,315.0,top
D135,196.4,-34.8,315.0,top
D136,194.6,-34.8,315.0,top
D137,192.8,-34.8,315.0,top
D138,191.0,-34.8,315.0,top
D139,189.2,-34.8,315.0,top
D14,187.4,-21.6,315.0,top
D140,187.4,-34.8,315.0,top
D141,185.6,-34.8,315.0,top
D142,183.8,-34.8,315.0,top
D143,182.0,-34.8,315.0,top
D144,180.2,-34.8,315.0,top
D145,178.4,-34.8,315.0,top
D146,176.6,-34.8,315.0,top
D147,174.8,-34.8,315.0,top
D148,210.8,-37.0,315.0,top
D149,209.0,-37.0,315.0,top
D15,185.6,-21.6,315.0,top
D150,207.2,-37.0,315.0,top
D151,205.4,-37.0,315.0,top
D152,203.6,-37.0,315.0,top
D153,201.8,-37.0,315.0,top
D154,200.0,-37.0,315.0,top
D155,198.2,-37.0,315.0,top
D156,196.4,-37.0,315.0,top
D157,194.6,-37.0,315.0,top
D158,192.8,-37.0,315.0,top
D159,191.0,-37.0,315.0,top
D16,183.8,-21.6,315.0,top
D160,189.2,-37.0,315.0,top
D161,187.4,-37.0,315.0,top
D162,185.6,-37.0,315.0,top
D163,183.8,-37.0,315.0,top
D164,182.0,-37.0,315.0,top
D165,180.2,-37.0,315.0,top
D166,178.4,-37.0,315.0,top
D167,176.6,-37.0,315.0,top
D168,174.8,-37.0,315.0,top
D169,210.8,-39.2,315.0,top
D17,182.0,-21.6,315.0,top
D170,209.0,-39.2,315.0,top
D171,207.2,-39.2,315.0,top
D172,205.4,-39.2,315.0,top
D173,203.6,-39.2,315.0,top
D174,201.8,-39.2,315.0,top
D175,200.0,-39.2,315.0,top
D176,198.2,-39.2,315.0,top
D177,196.4,-39.2,315.0,top
D178,194.6,-39.2,315.0,top
D179,192.8,-39.2,315.0,top
D18,180.2,-21.6,315.0,top
D180,191.0,-39.2,315.0,top
D181,189.2,-39.2,315.0,top
D182,187.4,-39.2,315.0,top
D183,185.6,-39.2,315.0,top
D184,183.8,-39.2,315.0,top
D185,182.0,-39.2,315.0,top
D186,180.2,-39.2,315.0,top
D187,178.4,-39.2,315.0,top
D188,176.6,-39.2,315.0,top
D189,174.8,-39.2,315.0,top
D19,178.4,-21.6,315.0,top
D190,210.9,-41.4,315.0,top
D191,209.0,-41.4,315.0,top
D192,207.2,-41.4,315.0,top
D193,205.4,-41.4,315.0,top
D194,203.6,-41.4,315.0,top
D195,201.8,-41.4,315.0,top
D196,200.0,-41.4,315.0,top
D197,198.2,-41.4,315.0,top
D198,196.4,-41.4,315.0,top
D199,194.6,-41.4,315.0,top
D2,209.0,-21.6,315.0,top
D20,176.6,-21.6,315.0,top
D200,192.8,-41.4,315.0,top
D201,191.0,-41.4,315.0,top
D202,189.2,-41.4,315.0,top
D203,187.4,-41.4,315.0,top
D204,185.6,-41.4,315.0,top
D205,183.8,-41.4,315.0,top
D206,182.0,-41.4,315.0,top
D207,180.2,-41.4,315.0,top
D208,178.4,-41.4,315.0,top
D209,176.6,-41.4,315.0,top
D21,174.8,-21.6,315.0,top
D210,174.8,-41.4,315.0,top
D211,210.8,-43.6,315.0,top
D212,209.0,-43.6,315.0,top
D213,207.2,-43.6,315.0,top
D214,205.4,-43.6,315.0,top
D215,203.6,-43.6,315.0,top
D216,201.8,-43.6,315.0,top
D217,200.0,-43.6,315.0,top
D218,198.2,-43.6,315.0,top
D219,196.4,-43.6,315.0,top
D22,210.8,-23.8,315.0,top
D220,194.6,-43.6,315.0,top
D221,192.8,-43.6,315.0,top
D222,191.0,-43.6,315.0,top
D223,189.2,-43.6,315.0,top
D224,187.4,-43.6,315.0,top
D225,185.6,-43.6,315.0,top
D226,183.8,-43.6,315.0,top
D227,182.0,-43.6,315.0,top
D228,180.2,-43.6,315.0,top
D229,178.4,-43.6,315.0,top
D23,209.0,-23.8,315.0,top
D230,176.6,-43.6,315.0,top
D231,174.8,-43.6,315.0,top
D232,210.8,-45.8,315.0,top
D233,209.0,-45.8,315.0,top
D234,207.2,-45.8,315.0,top
D235,205.4,-45.8,315.0,top
D236,203.6,-45.8,315.0,top
D237,201.8,-45.8,315.0,top
D238,200.0,-45.8,315.0,top
D239,198.2,-45.8,315.0,top
D24,207.2,-23.8,315.0,top
D240,196.4,-45.8,315.0,top
D241,194.6,-45.8,315.0,top
D242,192.8,-45.8,315.0,top
D243,191.0,-45.8,315.0,top
D244,189.2,-45.8,315.0,top
D245,187.4,-45.8,315.0,top
D246,185.6,-45.8,315.0,top
D247,183.8,-45.8,315.0,top
D248,182.0,-45.8,315.0,top
D249,180.2,-45.8,315.0,top
D25,205.4,-23.8,315.0,top
D250,178.4,-45.8,315.0,top
D251,176.6,-45.8,315.0,top
D252,174.8,-45.8,315.0,top
D253,210.8,-48.0,315.0,top
D254,209.0,-48.0,315.0,top
D255,207.2,-48.0,315.0,top
D256,205.4,-48.0,315.0,top
D257,203.6,-48.0,315.0,top
D258,201.8,-48.0,315.0,top
D259,200.0,-48.0,315.0,top
D26,203.6,-23.8,315.0,top
D260,198.2,-48.0,315.0,top
D261,196.406847,-48.0,315.0,top
D262,194.6,-48.0,315.0,top
D263,192.8,-48.0,315.0,top
D264,191.0,-48.0,315.0,top
D265,189.2,-48.0,315.0,top
D266,187.4,-48.0,315.0,top
D267,185.6,-48.0,315.0,top
D268,183.8,-48.0,315.0,top
D269,182.0,-48.0,315.0,top
D27,201.8,-23.8,315.0,top
D270,180.2,-48.0,315.0,top
D271,178.4,-48.0,315.0,top
D272,176.6,-48.0,315.0,top
D273,174.8,-48.0,315.0,top
D274,210.8,-50.2,315.0,top
D275,209.0,-50.2,315.0,top
D276,207.2,-50.2,315.0,top
D277,205.4,-50.2,315.0,top
D278,203.6,-50.2,315.0,top
D279,201.8,-50.2,315.0,top
D28,200.0,-23.8,315.0,top
D280,200.0,-50.2,315.0,top
D281,198.2,-50.2,315.0,top
D282,196.4,-50.2,315.0,top
D283,194.6,-50.2,315.0,top
D284,192.8,-50.2,315.0,top
D285,191.0,-50.2,315.0,top
D286,189.2,-50.2,315.0,top
D287,187.4,-50.2,315.0,top
D288,185.6,-50.2,315.0,top
D289,183.8,-50.2,315.0,top
D29,198.2,-23.8,315.0,top
D290,182.0,-50.2,315.0,top
D291,180.2,-50.2,315.0,top
D292,178.4,-50.2,315.0,top
D293,176.6,-50.2,315.0,top
D294,174.8,-50.2,315.0,top
D295,210.8,-52.4,315.0,top
D296,209.0,-52.4,315.0,top
D297,207.2,-52.4,315.0,top
D298,205.406847,-52.4,315.0,top
D299,203.6,-52.4,315.0,top
D3,207.2,-21.6,315.0,top
D30,196.4,-23.8,315.0,top
D300,201.8,-52.4,315.0,top
D301,200.0,-52.4,315.0,top
D302,198.2,-52.4,315.0,top
D303,196.4,-52.4,315.0,top
D304,194.6,-52.4,315.0,top
D305,192.8,-52.4,315.0,top
D306,191.0,-52.4,315.0,top
D307,189.2,-52.4,315.0,top
D308,187.4,-52.4,315.0,top
D309,185.6,-52.4,315.0,top
D31,194.6,-23.8,315.0,top
D310,183.8,-52.4,315.0,top
D311,182.0,-52.4,315.0,top
D312,180.2,-52.4,315.0,top
D313,178.4,-52.4,315.0,top
